iter	F1	Logloss
576	0.655537503	0.5951461098
577	0.6555120021	0.5951364015
578	0.6555467631	0.5951265628
579	0.6555939358	0.5951196889
580	0.6555915193	0.5951103754
581	0.6555977588	0.5951016987
582	0.6555753487	0.5950906029
583	0.6555572984	0.5950839401
584	0.6556007138	0.5950741087
585	0.6556007138	0.5950677454
586	0.6556007138	0.5950611992
587	0.6556229925	0.5950558416
588	0.6556178963	0.595048526
589	0.6555905842	0.5950398015
590	0.6555750156	0.5950316595
591	0.6556158868	0.5950198946
592	0.6556214572	0.5950073183
593	0.6556226008	0.5950006412
594	0.6556162947	0.5949896982
595	0.6556218657	0.5949813102
596	0.6556305895	0.5949740078
597	0.6556286457	0.5949663927
598	0.6556528733	0.5949597805
599	0.6556634748	0.5949514516
600	0.6556758901	0.5949460985
601	0.6556393778	0.5949410301
602	0.6556462223	0.5949340892
603	0.6556127994	0.5949279743
604	0.6556288411	0.5949198735
605	0.6556561543	0.5949151951
606	0.6556592419	0.5949094614
607	0.6556827979	0.5949004064
608	0.6556809834	0.5948938639
609	0.6557064796	0.5948875406
610	0.6556829887	0.5948788628
611	0.6557009723	0.5948727054
612	0.6556759539	0.5948651305
613	0.6556140081	0.5948574142
614	0.6556307847	0.5948518158
615	0.6556531311	0.5948340796
616	0.6556452072	0.5948266882
617	0.6556811108	0.5948197976
618	0.6556867445	0.5948146939
619	0.6556812381	0.594809036
620	0.6556618533	0.5947971019
621	0.6556680923	0.5947922604
622	0.6557177457	0.5947844601
623	0.6557239834	0.594778762
624	0.6556905002	0.5947703457
625	0.6557072733	0.5947634517
626	0.6556608367	0.5947540822
627	0.6556496972	0.5947478768
628	0.6556527843	0.594739296
629	0.655639702	0.5947331323
630	0.655644732	0.5947255806
631	0.6556583541	0.5947190092
632	0.6556439982	0.5947128197
633	0.6556272232	0.5947030572
634	0.6556222576	0.5946927254
635	0.6556402416	0.5946849406
636	0.6556450778	0.5946789835
637	0.6556346066	0.5946719327
638	0.6556242013	0.5946617865
639	0.6556074262	0.5946573633
640	0.6556755405	0.5946461158
641	0.6556478191	0.5946393468
642	0.655626684	0.5946299235
643	0.655678087	0.5946207254
644	0.6556892272	0.5946071938
645	0.6557090881	0.5946001873
646	0.6557018295	0.5945948162
647	0.6557110913	0.5945879977
648	0.655743967	0.5945809724
649	0.6557427568	0.5945757512
650	0.6557340377	0.5945697189
651	0.6557334949	0.5945624827
652	0.6557614044	0.5945556214
653	0.6557489934	0.5945501778
654	0.6557761753	0.5945416877
655	0.6557805345	0.5945349462
656	0.6557922795	0.5945278755
657	0.6557947618	0.5945228663
658	0.6557978494	0.5945141406
659	0.6557706055	0.5945082654
660	0.6557631586	0.5945026932
661	0.6557712108	0.5944951685
662	0.6557779304	0.5944859074
663	0.6558362933	0.5944806815
664	0.6558016632	0.594475249
665	0.6558121971	0.5944674648
666	0.6558071728	0.5944606937
667	0.6558072329	0.594451846
668	0.6558258187	0.5944458865
669	0.6558270895	0.594438974
670	0.6558474922	0.5944331744
671	0.6558133482	0.594428131
672	0.6558344169	0.5944217639
673	0.655883394	0.5944106032
674	0.6558605082	0.5944053072
675	0.6558474333	0.5943992378
676	0.6558678958	0.5943934741
677	0.6559311004	0.5943854188
678	0.6558907245	0.5943783872
679	0.6558609969	0.5943715394
680	0.655877218	0.5943673421
681	0.6558903495	0.5943602143
682	0.6559301144	0.5943501854
683	0.6559560311	0.5943440942
684	0.6559778148	0.5943373074
685	0.6560211591	0.5943297448
686	0.6559766017	0.5943242579
687	0.6559982735	0.5943193267
688	0.655995792	0.5943150683
689	0.6560025751	0.5943098568
690	0.6560199454	0.5943041718
691	0.6560156435	0.5942991681
692	0.6560329594	0.5942919658
693	0.6560361014	0.5942856349
694	0.6560391361	0.5942807458
695	0.6560336738	0.5942729846
696	0.6560150368	0.5942679184
697	0.6560206063	0.5942629659
698	0.6560267289	0.5942550038
699	0.6560304242	0.5942503223
700	0.6560168029	0.5942424997
701	0.6560496155	0.5942355688
702	0.6560669856	0.5942312232
703	0.6560528105	0.5942247265
704	0.6560943326	0.5942142823
705	0.6560825859	0.5942103318
706	0.6560868889	0.5942033771
707	0.6561258782	0.5941980506
708	0.6561376767	0.5941936802
709	0.6561395503	0.5941856224
710	0.6561339804	0.5941812327
711	0.6561364107	0.5941758909
712	0.6561364615	0.5941701348
713	0.6561351955	0.5941624928
714	0.6561407147	0.5941559439
715	0.6561723625	0.5941484549
716	0.6561425884	0.5941425341
717	0.6561525132	0.5941355145
718	0.6561580834	0.5941301055
719	0.6561506902	0.594126421
720	0.6561611723	0.5941194057
721	0.6561841602	0.5941136929
722	0.6561693236	0.5941063212
723	0.6561835523	0.5941025746
724	0.6562145404	0.5940954518
725	0.6562115001	0.5940913849
726	0.6562486648	0.5940837322
727	0.6562288661	0.594080436
728	0.6562239045	0.5940758978
729	0.6562393017	0.5940705606
730	0.6562133242	0.5940661608
731	0.6562251207	0.5940617523
732	0.6562269451	0.5940540174
733	0.656237525	0.5940459649
734	0.6562231995	0.5940392438
735	0.6562597573	0.594033694
736	0.6562845191	0.5940280485
737	0.6562466967	0.5940249145
738	0.656257229	0.5940171714
739	0.6562621909	0.5940093582
740	0.656272676	0.5939996009
741	0.6562937874	0.5939958701
742	0.6562745955	0.5939921937
743	0.6563074091	0.5939880233
744	0.6562974856	0.5939813145
745	0.6562974856	0.5939756023
746	0.6562783403	0.5939709633
747	0.6562491777	0.5939659018
748	0.6562546529	0.5939618077
749	0.6562522194	0.593956823
750	0.6562913531	0.5939505107
751	0.6562795573	0.5939463359
752	0.6562671056	0.5939416008
753	0.6562732845	0.593938211
754	0.6562683225	0.5939335292
755	0.6562392537	0.5939275295
756	0.6562305459	0.5939234818
757	0.6562479611	0.5939152768
758	0.6562361644	0.593908848
759	0.6562317624	0.59390434
760	0.6562255838	0.5938993769
761	0.6562609267	0.5938945964
762	0.6562466967	0.5938900651
763	0.6562646718	0.5938849105
764	0.6563148517	0.5938787786
765	0.6563155063	0.5938735402
766	0.6563049744	0.5938693586
767	0.6563297366	0.5938639415
768	0.6563383967	0.5938605565
769	0.6563421404	0.593854988
770	0.6563346982	0.5938510974
771	0.6563340893	0.5938465084
772	0.6563254294	0.5938421112
773	0.6563229486	0.5938383874
774	0.6563278646	0.5938322054
775	0.6563786974	0.5938271596
776	0.6563712553	0.5938224669
777	0.656361288	0.5938153489
778	0.656347057	0.5938120378
779	0.6563544546	0.5938067371
780	0.6563383063	0.593802749
781	0.6563748659	0.5937984518
782	0.6563209853	0.5937918779
783	0.6563637243	0.5937874819
784	0.6563816992	0.593783956
785	0.6563897509	0.5937796223
786	0.6564021113	0.593775698
787	0.656428138	0.5937699188
788	0.6564572968	0.5937640978
789	0.6564697413	0.5937598256
790	0.6564679537	0.5937539669
791	0.6564580738	0.5937496466
792	0.6564308318	0.5937449325
793	0.6564296129	0.5937415725
794	0.6564630345	0.5937360673
795	0.6564605542	0.5937317839
796	0.6564797045	0.5937267773
797	0.6564679952	0.5937166211
798	0.6564370116	0.5937066993
799	0.6564555934	0.5937012316
800	0.6564605959	0.5936974137
801	0.6564791772	0.5936932685
802	0.6564810477	0.5936887522
803	0.6564977585	0.593685436
804	0.6565101999	0.5936818159
805	0.6565089396	0.5936781476
806	0.6565046297	0.593673748
807	0.6565226003	0.5936693759
808	0.6565201202	0.5936597214
809	0.6565077198	0.5936567395
810	0.6564847475	0.5936493829
811	0.6564878786	0.5936454168
812	0.6564686464	0.5936415234
813	0.6564618152	0.5936366776
814	0.6564902769	0.5936324907
815	0.6564988969	0.5936275648
816	0.6565101191	0.5936223173
817	0.6565076389	0.593619158
818	0.6564593349	0.5936156132
819	0.656473607	0.5936100968
820	0.6564921882	0.5936048175
821	0.6565039388	0.5936017504
822	0.6565051991	0.5935963969
823	0.6565169498	0.5935922614
824	0.6565349211	0.5935884106
825	0.6565411412	0.593585794
826	0.6565367911	0.5935811715
827	0.65651943	0.5935782774
828	0.6565231303	0.5935744821
829	0.656546062	0.593569948
830	0.6565138194	0.593566456
831	0.6565181698	0.5935624023
832	0.6565231703	0.5935574608
833	0.6565231703	0.5935518948
834	0.6565325205	0.593548351
835	0.6565443103	0.5935432903
836	0.6565623579	0.5935356374
837	0.6565698358	0.5935312506
838	0.6565778467	0.5935287761
839	0.6565883759	0.5935259783
840	0.6566311403	0.5935213728
841	0.6566460542	0.5935175158
842	0.6566324355	0.593514284
843	0.6566311403	0.5935099313
844	0.6566534561	0.593504916
845	0.6566410586	0.5934997341
846	0.6566670752	0.5934969817
847	0.656638579	0.5934931885
848	0.6566509402	0.5934887566
849	0.6566676861	0.5934841124
850	0.6566813409	0.5934803423
851	0.6566937378	0.5934759211
852	0.6567055234	0.5934694866
853	0.6566962172	0.5934659648
854	0.6566652426	0.5934632312
855	0.6566732917	0.5934578642
856	0.6567129266	0.5934543425
857	0.6567030441	0.5934477416
858	0.6566974744	0.5934446387
859	0.6566869107	0.5934418178
860	0.6567030441	0.5934392566
861	0.6566918695	0.5934349902
862	0.6567117043	0.593431881
863	0.6567092249	0.593427267
864	0.6566770287	0.5934242108
865	0.6566640209	0.5934212461
866	0.6566819874	0.5934128896
867	0.6566931268	0.5934097017
868	0.6566751602	0.5934064029
869	0.6566980855	0.5934034493
870	0.6566999537	0.593400596
871	0.6567123154	0.5933949656
872	0.6566745136	0.5933910949
873	0.6566540306	0.5933844802
874	0.656696182	0.5933800511
875	0.6566999187	0.5933761714
876	0.6567166629	0.5933708992
877	0.6566950303	0.5933613902
878	0.6566826339	0.5933586873
879	0.6567012459	0.5933551636
880	0.6567093293	0.5933493966
881	0.6567353424	0.5933448319
882	0.6567446472	0.5933406953
883	0.6567483825	0.5933376196
